,Year,CountryCode,CountryName,TotalRainfall,StationCount,AverageRainfall
0,2010,FR,France,59477.49999999999,75,793.0333333333332
1,2010,GR,Greece,4069.500000000002,8,508.6875000000002
2,2010,MA,Madagascar,14963.699999999997,15,997.5799999999998
3,2007,BG,Bangladesh,15257.299999999997,10,1525.7299999999998
4,2007,UK,United Kingdom,90723.10000000005,98,925.7459183673475
5,2007,WA,Namibia,1966.3999999999996,8,245.79999999999995
6,2003,BA,Bahrain,29.8,1,29.8
7,2003,PS,Palau,14067.700000000008,4,3516.925000000002
8,2003,GV,Guinea,242.59999999999997,11,22.05454545454545
9,2005,RQ,Puerto Rico [United States],103431.99999999997,56,1846.9999999999995
10,2013,AS,Australia,3555465.3999999994,5694,624.4231471724621
11,2013,MX,Mexico,174670.89999999997,522,334.61858237547887
12,2013,WA,Namibia,1613.6,10,161.35999999999999
13,2016,NL,Netherlands,294270.60000000003,348,845.6051724137932
14,2014,EN,Estonia,15260.4,28,545.0142857142857
15,2014,JN,Jan Mayen [Norway],533.6999999999999,1,533.6999999999999
16,2014,MO,Morocco,2995.9999999999995,9,332.88888888888886
17,1999,NO,Norway,431815.29999999993,322,1341.0413043478259
18,1999,UZ,Uzbekistan,9773.699999999999,40,244.34249999999997
19,1990,RO,Romania,12550.5,30,418.35
20,1988,TS,Tunisia,1161.6000000000001,5,232.32000000000002
21,1996,RO,Romania,16924.800000000003,30,564.1600000000001
22,1996,TU,Turkey,19207.000000000004,29,662.3103448275863
23,1996,SG,Senegal,5100.5,12,425.0416666666667
24,1986,IS,Israel,3219.2,7,459.88571428571424
25,1986,UP,Ukraine,96059.90000000001,196,490.1015306122449
26,1986,MR,Mauritania,975.8,13,75.06153846153846
27,1982,GQ,Guam [United States],23157.300000000014,9,2573.0333333333347
28,1982,LH,Lithuania,11029.600000000002,21,525.2190476190477
29,1982,MY,Malaysia,30810.0,13,2370.0
30,1981,GM,Germany,652037.9000000003,656,993.9602134146345
31,1942,AS,Australia,3847229.499999999,5914,650.5291680757523
32,1942,UZ,Uzbekistan,8261.400000000001,27,305.9777777777778
33,1972,SF,South Africa,595105.9,1122,530.3974153297683
34,1972,SW,Sweden,482944.00000000006,904,534.2300884955753
35,1969,NG,Niger,3410.2,10,341.02
36,1969,SU,Sudan,5289.5,13,406.88461538461536
37,1965,BC,Botswana,3626.5000000000005,18,201.47222222222226
38,1965,KG,Kyrgyzstan,21528.999999999996,56,384.4464285714285
39,1965,MT,Malta,608.3,1,608.3
40,1965,UK,United Kingdom,91214.19999999995,98,930.7571428571424
41,1965,ZI,Zimbabwe,6656.099999999999,15,443.73999999999995
42,1959,MY,Malaysia,20465.899999999998,13,1574.2999999999997
43,1959,TI,Tajikistan,18437.8,47,392.2936170212766
44,1959,EZ,Czech Republic,1623.5000000000005,5,324.7000000000001
45,1958,AS,Australia,3869149.6000000006,5997,645.1808570952144
46,1958,MD,Moldova,4757.200000000002,9,528.577777777778
47,1958,TX,Turkmenistan,4293.299999999999,31,138.49354838709675
48,1957,IN,India,3553315.9000000004,3194,1112.4971509079526
49,1957,AY,Antarctica,1353.5000000000005,8,169.18750000000006
50,1937,KZ,Kazakhstan,25555.10000000001,107,238.83271028037393
51,1937,US,United States,4638804.8999999985,5248,883.9186166158534
52,1904,NL,Netherlands,8450.800000000001,17,497.10588235294125
53,1909,US,United States,3001508.299999999,3767,796.7900982213961
54,1907,AS,Australia,2074207.8999999992,4162,498.3680682364246
55,1907,GM,Germany,60627.10000000003,92,658.9902173913047
56,1907,SW,Sweden,32457.700000000008,59,550.1305084745765
57,1930,SF,South Africa,463717.9,979,473.664862104188
58,1929,SP,Spain,7580.4,16,473.775
59,1929,US,United States,3854430.099999999,4664,826.421548027444
60,1930,TU,Turkey,3883.0,4,970.75
61,1947,UP,Ukraine,40825.700000000004,78,523.4064102564104
62,2008,MY,Malaysia,47166.9,14,3369.0642857142857
63,2008,TO,Togo,2760.0000000000005,7,394.28571428571433
64,2004,KS,"Korea, South",15727.899999999998,11,1429.8090909090906
65,2017,AS,Australia,3057123.399999999,5020,608.9887250996014
66,2017,IR,Iran,6642.500000000001,30,221.41666666666669
67,2017,CO,Colombia,40375.29999999999,26,1552.8961538461533
68,2017,NG,Niger,5144.600000000001,15,342.9733333333334
69,2019,NP,Nepal,2491.2,2,1245.6
70,1989,ML,Mali,5371.799999999999,16,335.73749999999995
71,1993,BK,Bosnia and Herzegovina,787.4000000000003,1,787.4000000000003
72,1995,BR,Brazil,4198058.4,2898,1448.6053830227745
73,1995,JN,Jan Mayen [Norway],506.9000000000002,1,506.9000000000002
74,1995,TU,Turkey,18537.5,29,639.2241379310345
75,1984,MP,Mauritius,6067.499999999999,5,1213.4999999999998
76,1984,RQ,Puerto Rico [United States],140556.99999999997,87,1615.597701149425
77,1984,AG,Algeria,10347.5,46,224.94565217391303
78,1984,PE,Peru,14315.600000000002,25,572.6240000000001
79,1984,EC,Ecuador,8329.800000000001,5,1665.9600000000003
80,1980,TO,Togo,6120.7,8,765.0875
81,1979,BC,Botswana,6282.2,18,349.0111111111111
82,1979,NO,Norway,390243.9000000001,336,1161.4401785714288
83,1979,TX,Turkmenistan,10304.8,54,190.8296296296296
