,Unnamed: 0,Year,CountryCode,CountryName,TotalRainfall,StationCount,AverageRainfall
401,401,2023,CS,Costa Rica,3469.7999999999997,3,1156.5999999999997
442,442,2023,MJ,Montenegro,12511.899999999998,8,1563.9874999999995
517,517,2023,MF,Mayotte [France],792.4999999999978,1,792.4999999999978
680,680,2023,FI,Finland,121385.0,175,693.6285714285714
681,681,2023,IN,India,161261.80000000005,144,1119.8736111111114
682,682,2023,SF,South Africa,21156.8,50,423.136
683,683,2023,KE,Kenya,5029.1,10,502.91
684,684,2023,EN,Estonia,16360.100000000004,35,467.4314285714287
765,765,2023,PA,Paraguay,22985.199999999997,19,1209.7473684210522
1065,1065,2023,QA,Qatar,91.29999999999998,1,91.29999999999998
1245,1245,2023,BF,"Bahamas, The",52288.299999999945,45,1161.962222222221
1587,1587,2023,HO,Honduras,5079.299999999998,4,1269.8249999999996
1612,1612,2023,KU,Kuwait,62.89999999999998,1,62.89999999999998
1898,1898,2023,ML,Mali,2287.4,11,207.9454545454545
1989,1989,2023,PK,Pakistan,9238.5,25,369.54
2077,2077,2023,DR,Dominican Republic,4870.399999999998,4,1217.5999999999997
2122,2122,2023,CM,Cameroon,4899.900000000001,3,1633.3000000000002
2234,2234,2023,TD,Trinidad and Tobago,1353.8999999999985,1,1353.8999999999985
2357,2357,2023,RQ,Puerto Rico [United States],107165.69999999995,92,1164.844565217391
2466,2466,2023,MZ,Mozambique,3773.1,8,471.63749999999993
2526,2526,2023,CU,Cuba,545.8000000000002,1,545.8000000000002
2648,2648,2023,SL,Sierra Leone,150.29999999999998,1,150.29999999999998
2721,2721,2023,MI,Malawi,600.2,2,300.1
2745,2745,2023,IZ,Iraq,148.29999999999998,1,148.29999999999998
2902,2902,2023,AY,Antarctica,6080.599999999999,20,304.03
2929,2929,2023,BD,Bermuda [United Kingdom],1996.199999999999,1,1996.199999999999
3181,3181,2023,AQ,American Samoa [United States],14496.900000000012,4,3624.225000000003
3448,3448,2023,VQ,Virgin Islands [United States],22195.699999999997,36,616.547222222222
3546,3546,2023,BR,Brazil,19320.0,17,1136.470588235294
3547,3547,2023,SG,Senegal,7955.9,12,662.9916666666667
3553,3553,2023,KG,Kyrgyzstan,649.4000000000001,6,108.23333333333336
3597,3597,2023,UV,Burkina Faso,5116.499999999999,8,639.5624999999999
3745,3745,2023,EC,Ecuador,8332.700000000004,9,925.855555555556
3824,3824,2023,MV,Maldives,201.7000000000001,1,201.7000000000001
3837,3837,2023,JO,Jordan,242.0,3,80.66666666666667
3853,3853,2023,KR,Kiribati,3526.700000000002,1,3526.700000000002
4018,4018,2023,NL,Netherlands,394778.7,343,1150.9583090379008
4019,4019,2023,TX,Turkmenistan,1051.9999999999998,19,55.36842105263157
4103,4103,2023,MG,Mongolia,4745.9000000000015,39,121.68974358974364
4269,4269,2023,AE,United Arab Emirates,279.1,4,69.77499999999999
4284,4284,2023,BH,Belize,1669.7999999999988,1,1669.7999999999988
4718,4718,2023,PS,Palau,15719.80000000001,4,3929.9500000000025
4863,4863,2023,UY,Uruguay,6700.5,12,558.375
5066,5066,2023,GQ,Guam [United States],38578.600000000006,15,2571.906666666667
5067,5067,2023,JA,Japan,167773.80000000002,143,1173.2433566433567
5068,5068,2023,ID,Indonesia,8626.400000000001,89,96.92584269662925
